Datetime,Power,Ta,Ir,Tp
1/1/2020 0:00,0,36,0,23.86667
1/1/2020 0:15,0,36,0,23.34667
1/1/2020 0:30,0,36,0,22.7
1/1/2020 0:45,0.8,36,0,22.19333
1/1/2020 1:00,0,36,0,22
1/1/2020 1:15,0,36,0,22.13333
1/1/2020 1:30,0,36,0,22.5
1/1/2020 1:45,0,36,0,22.54667
1/1/2020 2:00,0,36,0,22.34
1/1/2020 2:15,0,36,0,22.03333
1/1/2020 2:30,0,36,0,21.67333
1/1/2020 2:45,0,36,0,21.32
1/1/2020 3:00,0,36,0,21.18667
1/1/2020 3:15,0,35,0,20.84
1/1/2020 3:30,0,36,0,20.48
1/1/2020 3:45,0,35,0,20.17333
1/1/2020 4:00,0,35,0,19.92667
1/1/2020 4:15,0,35,0,19.83333
1/1/2020 4:30,0,35,0,20.02667
1/1/2020 4:45,0,35,0,20.06667
1/1/2020 5:00,0,34,0,19.81333
1/1/2020 5:15,0,34,0,19.57333
1/1/2020 5:30,0,35,0,19.68
1/1/2020 5:45,0,34,0,19.8
1/1/2020 6:00,0,34,0,19.8
1/1/2020 6:15,0,34,0,19.76
1/1/2020 6:30,0,35,0.4682303,19.77333
1/1/2020 6:45,7.2,35,12.23252,20.01333
1/1/2020 7:00,26.4,34,44.83305,20.49333
1/1/2020 7:15,43.6,35,77.08241,21.36667
1/1/2020 7:30,60.8,35,103.8301,22.44667
1/1/2020 7:45,86.4,35,143.893,24.70667
1/1/2020 8:00,123.2,35,196.6567,27.19333
1/1/2020 8:15,169.2,35,258.9899,29.66667
1/1/2020 8:30,204.8,35,306.8664,32.12667
1/1/2020 8:45,235.6,36,343.6518,34.55333
1/1/2020 9:00,271.2,36,390.3578,36.50667
1/1/2020 9:15,298.4,37,425.3287,38.71333
1/1/2020 9:30,349.6,37,493.1928,40.61333
1/1/2020 9:45,380.8,38,533.6069,42.13334
1/1/2020 10:00,412,38,580.3422,44.34667
1/1/2020 10:15,426,39,591.3749,45.86666
1/1/2020 10:30,464.4,40,655.5225,47.58
1/1/2020 10:45,480,40,677.3536,48.76
1/1/2020 11:00,496.8,41,704.3354,49.29333
1/1/2020 11:15,570,41,811.4724,51.00667
1/1/2020 11:30,538.4,42,784.3735,52.8
1/1/2020 11:45,499.2,43,721.7479,53.60667
1/1/2020 12:00,374.8,43,535.3922,51.95333
1/1/2020 12:15,344.4,43,472.5907,49.42
1/1/2020 12:30,334.8,43,455.2954,47.21333
1/1/2020 12:45,353.2,43,483.9745,46.28
1/1/2020 13:00,397.6,43,539.9866,46.99333
1/1/2020 13:15,347.6,43,490.8224,47.70667
1/1/2020 13:30,290.4,43,392.377,46.15333
1/1/2020 13:45,311.2,43,415.7886,44.9
1/1/2020 14:00,322.8,43,451.4033,45.25333
1/1/2020 14:15,259.6,43,364.5466,45.09333
1/1/2020 14:30,246,43,340.7545,43.70667
1/1/2020 14:45,221.6,43,305.5496,42.35333
1/1/2020 15:00,214.8,43,292.7025,41.45333
1/1/2020 15:15,207.2,42,285.6205,40.76
1/1/2020 15:30,169.6,42,235.6954,39.73333
1/1/2020 15:45,142,42,196.0129,38.30667
1/1/2020 16:00,120.4,42,167.3338,37.26667
1/1/2020 16:15,99.2,42,138.8888,36.27333
1/1/2020 16:30,76,42,108.0149,35.13334
1/1/2020 16:45,56,42,80.09665,33.70667
1/1/2020 17:00,41.2,41,58.73364,32.28
1/1/2020 17:15,24.8,41,37.37063,30.97333
1/1/2020 17:30,11.6,41,18.55363,29.57333
1/1/2020 17:45,1.6,41,2.780118,27.97333
1/1/2020 18:00,0,40,0,26.3
1/1/2020 18:15,0,40,0,24.94667
1/1/2020 18:30,0,39,0,23.94667
1/1/2020 18:45,0,39,0,23.96667
1/1/2020 19:00,0,38,0,24.50667
1/1/2020 19:15,0,38,0,24.78667
1/1/2020 19:30,0,38,0,24.93333
1/1/2020 19:45,0,37,0,24.94667
1/1/2020 20:00,0,37,0,24.72
1/1/2020 20:15,0,37,0,24.41333
1/1/2020 20:30,0,37,0,24.25333
1/1/2020 20:45,0,37,0,24.19333
1/1/2020 21:00,0,36,0,24.09333
1/1/2020 21:15,0,36,0,24
1/1/2020 21:30,0,36,0,24.10667
1/1/2020 21:45,0,37,0,24.09333
1/1/2020 22:00,0,36,0,24.08667
1/1/2020 22:15,0,36,0,24.37333
1/1/2020 22:30,0,36,0,24.59333
1/1/2020 22:45,0,36,0,24.61333
1/1/2020 23:00,0,36,0,24.5
1/1/2020 23:15,0,36,0,24.4
1/1/2020 23:30,0,36,0,24.1
1/1/2020 23:45,0,36,0,23.75333
1/2/2020 0:00,0,36,0,23.56667
1/2/2020 0:15,0,36,0,23.53333
1/2/2020 0:30,0,35,0,23.79333
1/2/2020 0:45,0,35,0,24.01333
1/2/2020 1:00,0,35,0,24.1
1/2/2020 1:15,0,36,0,24.16667
1/2/2020 1:30,0,35,0,24.16667
1/2/2020 1:45,0,35,0,23.98667
1/2/2020 2:00,0,35,0,23.76667
1/2/2020 2:15,0,35,0,23.61333
1/2/2020 2:30,0,35,0,23.54
1/2/2020 2:45,0,34,0,23.28
1/2/2020 3:00,0,34,0,22.82667
1/2/2020 3:15,0,34,0,22.67333
1/2/2020 3:30,0,34,0,22.62
1/2/2020 3:45,0,35,0,22.35333
1/2/2020 4:00,0,35,0,21.95333
1/2/2020 4:15,0,34,0,21.56667
1/2/2020 4:30,0,35,0,21.20667
1/2/2020 4:45,0,34,0,21
1/2/2020 5:00,0,34,0,20.84
